producto,precio,cantidad,categoria,fecha
Producto_1,57.45,9,Alimentos,2024-01-01
Producto_2,47.93,62,Hogar,2024-01-02
Producto_3,59.72,37,Electrónica,2024-01-03
Producto_4,72.85,97,Hogar,2024-01-04
Producto_5,46.49,51,Alimentos,2024-01-05
Producto_6,46.49,44,Electrónica,2024-01-06
Producto_7,73.69,24,Hogar,2024-01-07
Producto_8,61.51,79,Hogar,2024-01-08
Producto_9,42.96,59,Alimentos,2024-01-09
Producto_10,58.14,32,Electrónica,2024-01-10
Producto_11,43.05,96,Alimentos,2024-01-11
Producto_12,43.01,88,Electrónica,2024-01-12
Producto_13,53.63,52,Deportes,2024-01-13
Producto_14,21.3,62,Ropa,2024-01-14
Producto_15,24.13,58,Ropa,2024-01-15
Producto_16,41.57,52,Ropa,2024-01-16
Producto_17,34.81,12,Alimentos,2024-01-17
Producto_18,54.71,39,Deportes,2024-01-18
Producto_19,36.38,2,Electrónica,2024-01-19
Producto_20,28.82,3,Hogar,2024-01-20
Producto_21,71.98,56,Electrónica,2024-01-21
Producto_22,46.61,81,Hogar,2024-01-22
Producto_23,51.01,59,Electrónica,2024-01-23
Producto_24,28.63,2,Deportes,2024-01-24
Producto_25,41.83,2,Hogar,2024-01-25
Producto_26,51.66,92,Alimentos,2024-01-26
Producto_27,32.74,54,Electrónica,2024-01-27
Producto_28,55.64,87,Electrónica,2024-01-28
Producto_29,40.99,96,Hogar,2024-01-29
Producto_30,45.62,97,Alimentos,2024-01-30
Producto_31,40.97,1,Alimentos,2024-01-31
Producto_32,77.78,19,Deportes,2024-02-01
Producto_33,49.8,2,Alimentos,2024-02-02
Producto_34,34.13,53,Alimentos,2024-02-03
Producto_35,62.34,44,Alimentos,2024-02-04
Producto_36,31.69,90,Ropa,2024-02-05
Producto_37,53.13,32,Deportes,2024-02-06
Producto_38,20.6,70,Electrónica,2024-02-07
Producto_39,30.08,32,Hogar,2024-02-08
Producto_40,52.95,68,Electrónica,2024-02-09
Producto_41,61.08,55,Deportes,2024-02-10
Producto_42,52.57,75,Hogar,2024-02-11
Producto_43,48.27,56,Deportes,2024-02-12
Producto_44,45.48,17,Alimentos,2024-02-13
Producto_45,27.82,38,Hogar,2024-02-14
Producto_46,39.2,24,Alimentos,2024-02-15
Producto_47,43.09,69,Electrónica,2024-02-16
Producto_48,65.86,98,Electrónica,2024-02-17
Producto_49,55.15,70,Hogar,2024-02-18
Producto_50,23.55,86,Hogar,2024-02-19
Producto_51,54.86,11,Deportes,2024-02-20
Producto_52,44.22,16,Deportes,2024-02-21
Producto_53,39.85,97,Alimentos,2024-02-22
Producto_54,59.18,73,Hogar,2024-02-23
Producto_55,65.46,59,Electrónica,2024-02-24
Producto_56,63.97,70,Deportes,2024-02-25
Producto_57,37.41,80,Deportes,2024-02-26
Producto_58,45.36,93,Electrónica,2024-02-27
Producto_59,54.97,3,Deportes,2024-02-28
Producto_60,64.63,20,Alimentos,2024-02-29
Producto_61,42.81,59,Hogar,2024-03-01
Producto_62,47.22,36,Electrónica,2024-03-02
Producto_63,33.4,19,Hogar,2024-03-03
Producto_64,32.06,90,Deportes,2024-03-04
Producto_65,62.19,67,Deportes,2024-03-05
Producto_66,70.34,19,Electrónica,2024-03-06
Producto_67,48.92,20,Alimentos,2024-03-07
Producto_68,65.05,96,Ropa,2024-03-08
Producto_69,55.42,71,Electrónica,2024-03-09
Producto_70,40.32,52,Ropa,2024-03-10
Producto_71,55.42,33,Ropa,2024-03-11
Producto_72,73.07,40,Alimentos,2024-03-12
Producto_73,49.46,39,Ropa,2024-03-13
Producto_74,73.47,82,Ropa,2024-03-14
Producto_75,10.7,1,Alimentos,2024-03-15
Producto_76,62.33,11,Ropa,2024-03-16
Producto_77,51.31,92,Ropa,2024-03-17
Producto_78,45.51,57,Ropa,2024-03-18
Producto_79,51.38,89,Electrónica,2024-03-19
Producto_80,20.19,50,Electrónica,2024-03-20
Producto_81,46.7,23,Electrónica,2024-03-21
Producto_82,55.36,31,Alimentos,2024-03-22
Producto_83,72.17,94,Deportes,2024-03-23
Producto_84,42.23,42,Ropa,2024-03-24
Producto_85,37.87,99,Ropa,2024-03-25
Producto_86,42.47,7,Alimentos,2024-03-26
Producto_87,63.73,16,Ropa,2024-03-27
Producto_88,54.93,90,Electrónica,2024-03-28
Producto_89,42.05,60,Deportes,2024-03-29
Producto_90,57.7,2,Hogar,2024-03-30
Producto_91,51.46,1,Ropa,2024-03-31
Producto_92,64.53,48,Electrónica,2024-04-01
Producto_93,39.47,12,Hogar,2024-04-02
Producto_94,45.09,69,Deportes,2024-04-03
Producto_95,44.12,37,Hogar,2024-04-04
Producto_96,28.05,32,Electrónica,2024-04-05
Producto_97,54.44,9,Hogar,2024-04-06
Producto_98,53.92,99,Alimentos,2024-04-07
Producto_99,50.08,19,Hogar,2024-04-08
Producto_100,46.48,48,Ropa,2024-04-09
